_id,Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body,EPS Facility
2324,2017,1090,London Health Sciences Centre,Victoria Hospital,London,622111,41338.583,0,176.043,311.24,0,0,0,0,41826,"41,826","41,826",GHD,
2325,2017,1091,"Rothsay, a Division of Darling International Canada Inc.",Moorefield,Moorefield,311614,23608.63,0,9.765,128.65,0,0,0,0,23748,"23,748","23,748",Internat Energy Solutions Canada,
2326,2017,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms,Brampton,311615,28799,0,11.907,156.86,0,0,0,0,28968,"28,968","28,968",GHD Limited,
2327,2017,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,24243.8995,0,10.0317,131.967,0,0,0,0,24386,"24,386","24,386",PricewaterhouseCoopers LLP,
2328,2017,1094,New Forest Paper Mills LP,New Forest Paper Mills LP,Scarborough,322130,57881,2449,23.9484,315.084,0,0,0,0,60670,"58,221","58,221",GHD,
2329,2017,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,5.946,0,0,0,0,0,0,0,6,6,6,GHD Limited,
2330,2017,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,19697.931,0,105.966,158.41,0,0,0,0,19963,"19,963","19,963",GHD Limited,
2331,2017,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,21698.6,0,118.8663,175.4693,0,0,0,0,21993,"21,993","21,993",GHD Limited,
2332,2017,1098,Northland Power Inc.,Kirkland Lake Generating Station,Kirkland Lake,221112,244936.583,171045.368,2468.025,4232.12,0,0,0,0,422683,"251,637","251,637",GHD Limited,
2333,2017,1099,Northland Power Inc.,Thorold Cogen Generating Station,Thorold,221112,53793.438,0,291.732,433.38,0,0,0,0,54519,"54,519","54,519",GHD Limited,
2334,2017,1100,NOVA Chemicals (Canada) Ltd.,Corunna Site,Corunna,325110,818745.567,0,7425.285,2998.94,0,0,0,0,829170,"829,170","829,170",GHD Limited,
2335,2017,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,94804.566,0,50.484,490.11,0,0,0,0,95346,"95,346","95,346",GHD Limited,
2336,2017,1102,NOVA Chemicals Corporation,St. Clair River Site,Corunna,325210,72598.048,0,50.442,372.31,0,0,0,0,73021,"73,021","73,021",GHD Limited,
2337,2017,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,73327,0,23.541,309.69,0,0,0,0,73661,"73,661","73,661",ENVIRO-ACCES INC.,
